Nombre,Número de reseñas,Número de fotos,Puntuación,Fecha,Comentario,Comida,Servicio,Ambiente,Platos recomendados
Gonzalo Nieto,,,5,24/02/2026,"Excelente servicio, las pizzas riquísimas!!destaco atención de los que nos atendieron Alexis y trinidad , muchas gracias x la atención genial muy atentos!",5,5,5,
Paola Tejerina Abatte,,,5,24/02/2026,"El personal muy atento, el mozo de afuera y las chicas Alexis y Antonella quienes nos acompañan al sitio. Precios acordes a su calidad",5,5,5,
Ricardo Cacciola,,,5,24/02/2026,Antonella y Alexis,4,4,3,
Sofi Ayala,,,4,24/02/2026,Antonella y Alexis,5,5,5,
Sergio Mouthon Fonseca,,,5,24/02/2026,Nadia y Alexis,5,5,5,
Cristian Gaitan,,,5,24/02/2026,Alexis y Nadia,5,5,5,
Lic Vanesa Albertengo,,,5,24/02/2026,Excelente atención de Nadia y Alexis,5,5,5,
Roxx Gal.,,,5,24/02/2026,Excelente lugar retro y ricas pizzas ..sino tenes paciencia anda de lunes a jueves al mediodía..  sino luego de las 00am,4,4,4,
Esteban Nicolas Soto,,,4,24/02/2026,"La mejor pizza de todo Buenos Aires!
La atención del lugar increíble, nos atendieron Trinidad y Alexis, super rápido, fueron súper amables y atentos a cada detalle haciendo que la experiencia acá sea súper satisfactoria. Ya vinimos varias veces y sin dudas volveríamos!",5,5,5,
Josefina M Reyes,,,5,24/02/2026,Trinidad y Alexis un 10 atendiendo y siempre al servicio .. exelente atención,5,5,5,
Mayra Soto,,,4,24/02/2026,Alexis y antonella dos cracks !!!,5,5,5,
Leandro Soto,,,5,24/02/2026,"Increíble todo, Cristian un crack con la atención y la recomendación. Lo dio todo!  Merece un aumento!",5,5,5,
federico alvarez,,,5,24/02/2026,Excelente Alexis y Antonella,5,5,5,
Sebastián Alencastro,,,5,24/02/2026,Alexis y Antonella,5,5,5,
Ismael Vallejo,,,5,24/02/2026,"Un genio nuestro mozo Cristian y las chicas de recepción! Mi novio está entre casarse con él o con el maestro pizzero, jajaja. Todo excelente",5,5,5,
Guille Garcia,,,5,24/02/2026,Muy buena pizza . Hay fila pero pasas rápido .,5,5,5,
Melu Recalde,,,5,24/02/2026,"Trinidad y Alexis son unos genios! Muy amorosos, hubo fila pero nos atendieron muy rápido y todo demasiado rico 10/10",5,5,5,
Gonzalo Piedra,,,5,24/02/2026,La mejor pizza de bs as. Excelente atención de Alexis y Trinidad. Super recomendado !!!,5,5,5,
Paola Melaraña,,,5,24/02/2026,"Espectacular todo.
La atencion de Cristian es impresionante, al igual que Ivana.
Ideal para engordar y disfrutar como debe ser.",5,5,5,
pablo cabrera,,,4,24/02/2026,Trinidad y Alexis unos capos!,5,5,4,
Facundo Perez,,,5,24/02/2026,El personal muy amable todo muy rico,5,5,5,
Vanina Sotelo,,,5,24/02/2026,Mucha historia pero la pizza no es rica. Es más para los turistas el lugar es gigante y muy lindo pero la pizza no es rica,5,5,5,
Eliana Sotelo,,,5,24/02/2026,"Un clásico, siempre que estoy por el centro almuerzo en la barra!",5,5,5,
María Cecilia Di Pasquale Miraglia,,,5,24/02/2026,Trinidad y Alexis buen servicio,5,5,5,
Manuel Surur,,,5,24/02/2026,Riquísimo todo!!! Genios Ale y Trini 💖💖,5,5,5,
CELINA SURUR,,,5,24/02/2026,El mozo Santiago y las dos recepcionistas excelentes,5,5,5,
Agustina Warde,,,5,24/02/2026,"Pizzas buenas, pero sobrevaloradas. Y entrar es un triunfo, toma mucho tiempo, y no corresponde la comida a la inversión de ir, esperar, generan enormes expectativas. Creo que venden mucho más tradición que buena comida.
El exceso del queso en las pizzas, así que se pierda un poco los demás sabores. La masa es ancha, y un poco dura porque viene quemada del horno .",2,3,4,
Nahuel Vallejos,,,5,24/02/2026,"Una experiencia maravillosa. Nos atendieron Trinidad y Alexis. ¡Lo recomiendo!

El ambiente no estuvo a la altura porque el aire acondicionado dejó de funcionar, pero entendí que fue un problema puntual.",5,3,5,
Martina Metrebian,,,5,24/02/2026,"Lugar hermoso y comida rica
Y trinidad y Alexis atienden excelente",5,5,3,
Gabriela G. Argote J.,,,5,24/02/2026,Excelente atención. Me dieron prioridad inmediatamente por movilidad reducida. Hicieron una excepción de permitirnos pedir pizza chica en un salón en que no está contemplado. Muy amables los mozos. Las pizzas LAS MEJORES DE BUENOS AIRES.,5,5,5,
Leo sartirana,,,2,24/02/2026,"Exelente la comida, y quiero destacar la atencion de Nerea y Nadia, fueron muy atentas y amables en todo momento. Sin duda elijo Guerrin siempre!!",5,5,5,
James Dunn,,,5,24/02/2026,Siempre un mil!👏👏👏,5,5,5,
Gustavo Zanzero,,,5,24/02/2026,La atención de Agustín y Paola fue excelente! Recomiendo mucho Guerrín,5,5,5,
Andrés Muñoz Betancur,,,5,24/02/2026,La atención de Nerea y nadia fue excelente y muy amables,5,5,5,
Jhoneliot Loera,,,5,24/02/2026,"Muy ricas, variadas. Espectaculares los postres y no son caros, pero la espera al sol es cruel.",4,3,3,
Carlos Guerra,,,5,24/02/2026,"Un sitio estupendo, pizza deliciosa y precios justos. Fuimos dos veces durante nuestra estancia en Buenos Aires. ¡Muy recomendable!",5,5,4,
Mariana Briceño,,,5,24/02/2026,De los lugares que tienen la fama que merecen. Una experiencia comer pizza en la barra y es económico. Yo comí una especial que estaba excelente. Nos salió algo de 12 mil pesos dos porciones de pizza y una coca (más que bien para un almuerzo),5,5,5,
Lucio Holzkan,,,5,24/02/2026,La comida muy buena!! El servicio tienen que mejorar y mucho igual los mozos le pone garra,5,5,5,
Bobbio 23,,,3,24/02/2026,"Un clasico, que nadie deberia perderse",5,5,5,
Karina B.,,,5,23/02/2026,Muy buena pizza tradicional.,5,5,5,
Camila Aguilera Silva,,,5,23/02/2026,"La comida es buena, pero no deslumbra, excesiva cantidad de gente. No es mal lugar, pero no volvería, hay mejores opciones cruzando la calle",5,5,5,
Paola Tubia,,,5,23/02/2026,Buena pizza y buena atención.,5,5,5,
German Souto,,,5,23/02/2026,"La mejor pizza argentina, sin dudas. Particularmente muzarella, 10/10. La de verdulera no tiene tanta fama y es realmente muy buena. Rapidez extrema en la caja, ideal para sentarse a comer y también para comer en de parado",5,5,5,
Brenda Schulz,,,5,23/02/2026,"Hay q ir temprano siempre mucha gente, un top 3 de pizzerías en BS as, lugar obligado para ir a comer",5,5,5,
Julieta Pregadio,,,5,23/02/2026,"Excelentemente atendió Nerea y beto, muy amables!",5,3,5,
Guillermo ortuño,,,5,23/02/2026,Ivana y Mariano muy bien,5,5,5,
Alfredo Muñoz,,,4,23/02/2026,Cristian e Ivana muy bien!!,5,5,5,
Carolin Hagen,,,5,23/02/2026,Mario e Ivana un diez volveremos,5,5,5,
Miqueas Ortega,,,5,23/02/2026,Leandro y Paola ⭐️⭐️⭐️⭐️⭐️,5,4,5,
Marcelo Giannastascio,,,5,23/02/2026,"Excelente atención, sobre todo de la recepcionista Paola y el mozo Braian.
La pizza muy muy rica.  Súper recomendable!!",3,3,3,
Samuel Garcia,,,5,23/02/2026,Muy buena la atención de Nerea y Beto,5,4,4,
Nahuel Rici,,,5,23/02/2026,"Excelente, Nerea y Beto",5,5,5,
Nery Marquez,,,5,23/02/2026,Todo impecable! Beto y Nerea unos genios!,4,4,3,
Rhaiza Castellano Hernandez,,,5,23/02/2026,Beto y Nerea excelente atención,4,4,4,
Stefano Forzani,,,5,23/02/2026,Excelente la atención de Dani y Nerea!,5,5,4,
Javier Da Silva,,,3,23/02/2026,"Excelente todo.
Me atendieron Merea, Esteban y Dadiel.",5,5,5,
Alejandra Spinelli,,,4,23/02/2026,La atención muy buena el mozo Leandro,5,5,5,
José Carneiro,,,5,23/02/2026,Esteban un genio y Antonella un amor!,5,5,5,
lucio abdala,,,4,23/02/2026,El mozo que nos atendió sebastian! Un genio,4,4,5,
firz3n,,,5,23/02/2026,"Excelente servicio y la atención de Nerea, Esteban y Dadiel.",5,5,5,
Gerardo Andrés Berdula,,,4,23/02/2026,Todo de 10. Gracias Santi y Claudia 🫶,5,5,4,
Enrique Julio López Medrano,,,5,23/02/2026,"Beto y Antonella genios por la atención
Muy amables",5,5,4,
Mauro Wyszengrad,,,5,23/02/2026,Chévere todo! Gracias Brianyan y Claudia,5,5,5,
Pablo Winter,,,4,23/02/2026,Beto y Antonella unos genios 10/10,5,5,5,
Mayra Rocio Cantó,,,4,23/02/2026,Muy buena experiencia de sabores,5,5,5,
Cecilia Camarano,,,5,23/02/2026,"Nos atendió Beto, un capo!!!! Se merece todo!!!",5,5,5,
Marcos Augusto Ortman,,,5,23/02/2026,"Muy buen servicio, todo muy rico u sobretodo la atención de Ernesto y antonella",5,5,5,
Dani Reuvers,,,5,23/02/2026,Excelente servicio de Ivana y Lautaro 👏 👍,5,5,5,
Lola R T,,,4,23/02/2026,Excelente atención de agustina y Daniel  ..unos capos,5,5,5,
Bruno Fraga,,,5,23/02/2026,La mejor pizza que probé !! GRACIAS !!,5,5,5,
Nadia Amodio,,,5,23/02/2026,Gracias agustina y daniel,5,5,5,
shuu lyy,,,5,23/02/2026,Morales y antonella,5,5,5,
Agostina Conm,,,5,23/02/2026,Muy rico todo. Excelente atención la de Antonella y Diego,5,5,5,
Lucas Martinez,,,5,23/02/2026,Diego y Antonela,5,5,5,
Mati Gomez,,,5,23/02/2026,Muy buena atención de Diego y Antonela,5,5,5,
Manuela Belviso,,,5,23/02/2026,Gracias Agustin e Ivana por la atención!,5,5,5,
Romina Eizmendi,,,5,23/02/2026,Anto muy buena y Seba capo genio idolo crack no more,5,5,4,
Ramiro Elorza,,,5,23/02/2026,"Exelente atención
Muy rico todo
Hermosa experiencia",5,5,5,
EMILIANO ELORZA,,,5,23/02/2026,Simpática anto y seba novia de messi,5,5,5,
Gisela Moreno,,,5,23/02/2026,"Excelente pizzas, muy buena atención y ambiente. Recomendable para venir siempre",5,5,5,
Guillermo Tolli,,,5,23/02/2026,Excelente Claudia y Santi-Ariel,5,5,4,
Melisa Brunetti,,,5,23/02/2026,Esteban y Antonella,5,5,5,
Paula Brunetti,,,5,23/02/2026,Esteban es un crack atendiendo. Antonella un amor desde que llegamos y orientarnos,5,5,5,
Gabriel Villa,,,5,23/02/2026,"Muy buena la atención, rápida y cercana. Nos atendió Esteban y muy atento.",5,5,5,
Paula Navio,,,5,23/02/2026,Santiago nos atendió muy bien y Claudia fue muy amable...,5,5,5,
Dario Pangrazi,,,5,23/02/2026,Llegamos en bondi,5,5,5,
Tatiana Goya Tarnavassa,,,5,23/02/2026,Hermosa la atención De Santiago,5,5,5,
Gaspar Barcia,,,5,23/02/2026,Muy bien Estaban y Antonella,5,5,5,
Analia Ulayar,,,5,23/02/2026,"Muy rica la pizza siempre que vengo a Av Corrientes vengo aquí.
Nos atendieron Leandro y Milagros de 10 💪🏻",5,5,5,
julieta curra,,,5,23/02/2026,"Todo de diez....
Gracias Alejandro y Milagros por su atención",5,5,4,
Camila rocio Cordoba,,,5,23/02/2026,"muy buena atencion Agustina y Briancito, pero falto el aire un poco ...",4,4,5,
William Jameson,,,5,23/02/2026,"He comido mejor en otras ocasiones en guerrin, pero muy bien igualmente",3,5,5,
Mateo Ciganda,,,5,23/02/2026,Agustina y Brian nos atendieron de 10. Vinimos 9 personas y en 10 minutos nos acomodaron en una mesa y nos aconsejaron de la mejor manera. Súper recomendado!,5,5,5,
Vic Perez,,,5,23/02/2026,Todo genial. Gadiel y Nerea 💖,5,5,5,
MARCO VERA,,,5,23/02/2026,Erwin y Claudia fueron geniales,5,5,5,
Viviana Pastrano,,,5,23/02/2026,Muy rica la pizza y excelente servicio de Claudia y Erwin,5,5,5,
Maria Rosa Sabbadin,,,5,23/02/2026,Pizza deliciosa. Y el servicio de Claudia y Erwin excelente,5,5,4,
Ornella Merola,,,5,23/02/2026,Milagros y Leandro unos genios,5,5,5,
ana maria gomez petit,,,5,23/02/2026,Excelente servicio de parte de trinidad y nacho muy buena comida sin duda volvería!!!,5,5,3,
Jimena Parra,,,5,23/02/2026,todo precioso,5,5,5,
Luis colmenarez,,,5,23/02/2026,Nacho y trinidad 10/10 servicios,5,5,5,
pablo cortez,,,5,23/02/2026,Trinidad y Nacho,5,4,5,
Fernando Piaser,,,5,23/02/2026,Una pizza en la barra de Guerrin que bien,5,5,5,
Veronica Velazquez,,,5,23/02/2026,"Muy buena experiencia la verdad, pudimos entrar y ubicarnos rapido, la comida vino en menos de 20 minutos y el personal, en especial claudia y Nico, el mozo,  muy buena atención y comodidad <3",5,5,5,
Thiago Robles,,,5,23/02/2026,Sigue siendo la mejor pizza de Buenos Aires 💘 y el ambiente es icónico. Vayan! // Nov 25 - muy buena la atención de Ivana y Gonzalo.,5,5,5,
Lourdes Iacono,,,5,23/02/2026,"excelente servicio y la comida un 10! nos atendió mariano e ivana, super amorosos y atentos, volveria una y mil veces!!",5,5,5,
Jose Siu,,,5,23/02/2026,"Ivana y Mariano excelentes muy atentos y rápidos, buen servicio, excelente compañía (mi amor)",4,5,5,
July Vivas,,,5,23/02/2026,"Estuvimos en el patio napolitana Muy buena atención , riquísimo todo !!! La mejor pizza de argentina",5,5,5,
Walter Ariel Fernández,,,5,23/02/2026,"Nos atendió Ivana, Milagros y Cristian, gran atención,  muy buena onda. Nos hicieron tener una gran experiencia en el lugar!",4,4,5,
Fiorela Ermini,,,5,23/02/2026,Cristian fue un excelente mozo! Hizo que la pasemos super bien! Además Milagros y Ivana fueron muy amigables y nos ayudaron a entrar rápido y que nos armaran una mesa sin demora.,5,5,5,
Marilina Fornaro,,,5,23/02/2026,"La mejor pizza de calle corrientes. Excelente atención de Cristian, Ivana y Milagros. Fueron muy atentos y serviciales. Volveríamos!",5,5,5,
Micaela Lauria,,,5,23/02/2026,La pizza esta bien. El servicio medio. La limpieza de los baños terrorifica. Muy ruidoso el ambiente.,5,5,5,
Matias Rosati,,,4,23/02/2026,Excelente Antonella y Federico,5,5,2,
Jimena Albornoz,,,5,23/02/2026,Muy buena atención de antonella y Federico!,5,5,3,
Matias Torrilla,,,5,23/02/2026,Antonella y Federico,3,5,5,
Violeta Cosmano Sánchez,,,5,23/02/2026,"Delicioso y buena atención. El ambiente si hacía mucho calor, sin aire acondicionado",5,5,5,
Matias Castaño,,,5,23/02/2026,Gracias a Sebastian por su gran atencion! La pizza un 10💗,5,5,5,
Yanina Zambanini,,,5,23/02/2026,muy buena!!!!,5,5,5,
Francisco Bollini,,,5,23/02/2026,Maravilla de pizza,5,5,5,
Ale Zúñega,,,5,23/02/2026,Muy buena comida. Pedimos fugazzeta de jamón y queso y una pizza de la especialidad de la casa.  Porciones muy generosas los slices. Muy buen sabor.,5,5,5,
Lucho Peralta,,,5,23/02/2026,Un buen sitio y muy agradable sus productos,5,5,4,
Juan Pablo Zuñega,,,5,23/02/2026,"Repleto, pero muy buena atención",5,5,4,
esteban miranda,,,5,23/02/2026,"Sinceramente, se los recomiendo. La entrada estuvo un poco congestionada y al caer la tarde llega mucha más gente, pero aun así vale totalmente la pena.

Disfrutamos una pizza y una buena cerveza de litro, y nos vamos realmente contentos y satisfechos.",5,5,5,
Ignacio Skarmeta Pavez,,,4,23/02/2026,"La pizza de cebolla mozzarella estaba deliciosa. Si van al salón Napolitano verán una decoración muy especial y retro. No hubo espera por la mesa, pero el servicio (un día viernes a las 7.30pm) fue algo lento.
Lo recomiendo ampliamente.",5,5,4,
Natacha Rojas,,,5,23/02/2026,Excelente atención de Leandro!,5,5,5,
Allison Muñoz,,,5,23/02/2026,"Ernestito es un crackkkkkk
¡Y qué genio!",5,5,5,
Mónica Rojas,,,5,23/02/2026,GERNIAL ERNESTO Y ANTO <3,5,5,5,
Alvaro Vargas,,,5,23/02/2026,"Muchas gracias Milagros muy sympatica, la comida muy rica =)",5,5,5,
Isa Mendez,,,5,23/02/2026,Súper!,5,5,5,
Lisbeth Teran,,,5,23/02/2026,La pizza rellena de fugazzetta es inmejorable.,5,5,5,
Hernan Castro,,,4,23/02/2026,Las mejores pizzas!!!,5,5,5,
Martín Cingolani,,,4,23/02/2026,"Un clásico,  tradicional con mucha historia, ,excelente pizza y una focaccia increíble volvería. Genial atención de Darío 💪🏻",5,5,5,
Juan Pablo Cingolani,,,5,23/02/2026,Excelentes pizzas!. Ir con paciencia ya que la espera puede ser mayor a 30 minutos para ingresar.,5,5,5,
Agus Mai,,,5,23/02/2026,"Nos gustó pero no nos pareció espectacular, muy rico igual. Nos enviaron a la zona del fondo (es gigante) y el ambiente nos pareció muy lindo. Lo que sí puede mejorar es el servicio ya que nadie nos explicó que adelante podíamos pedir por porciones ni nos sugirieron/mencionaron que podíamos pedir 2 sabores de pizza. Igual, muy linda experiencia. (Nos olvidamos de la foto a la pizza)",5,5,5,
Maria del Mar Brenes Herrera,,,5,23/02/2026,"no me pareció destacable la pizza, la masa vino a medio cocinar, el queso es regular y es elevado el precio para lo que es. Esperaba un poco más :/",5,5,5,
Eduardo Galviz,,,5,23/02/2026,Todo barbaro. Nos atendieron Ivanna y Beto. Unos genios!,5,5,5,
Santiago,,,5,23/02/2026,"Güerrín es de esos lugares que no necesitan presentación: uno entra y el aroma ya te dice que estás en un clásico porteño. Almorzar “parado” en la barra —dos de muzza bien cargadas y una fainá — es casi un rito de iniciación para cualquiera que quiera entender la gastronomía de Buenos Aires. La masa tiene ese punto exacto entre esponjosa y crocante, y el queso… bueno, abunda como si no hubiera un mañana.

El ritmo del local es una coreografía perfecta: hornos que no descansan, mozos que vuelan y porciones que salen sin pausa pero siempre con la misma calidad. Es un lugar ruidoso, lleno de vida, y parte de su encanto es justamente ese caos organizado tan porteño.

Ideal para una comida rápida en pleno Centro, antes o después de una caminata por Corrientes. Si buscás probar la pizza al molde más tradicional de la ciudad, Güerrín es parada obligatoria.",5,5,5,
Rebeca Brenes,,,5,23/02/2026,"Siempre había querido visitar el lugar, pero, con todo respeto, me llevé una gran desilusión. Entiendo que el lugar se llena siempre y que están muy ocupados. La relación precio-calidad es mínima y la verdad que no me dan ganas de volver. Pedimos una pizza con anchoas y si bien estas son muy saladas, podrían haber compensado con la masa y la salsa. Por otra parte, a la masa le faltaba cocción y estaba pesada (como si hubiese habido un problema de leudado).",5,5,5,
ulises lapelosa,,,5,23/02/2026,"Riquísima la pizza. Tal vez el precio un poco elevado pero sí lo vale. El ambiente es ruidoso y siempre hay fila para entrar pero la atención de todos los chicos y chicas es muy amena. Pizzería clásica de Buenos Aires, muy recomendable.",5,5,1,
Danibu,,,5,23/02/2026,"Me encantó todo ,súper atención del mesero Fede y  exelente servicio de comida exquisita ,encantó muy atenta la señorita de Paola",4,3,5,
MILENA DEL CARMEN CABEZAS CAICEDO,,,5,23/02/2026,"Deliciosas pizzas me encantaron
Muy buen servicio de Fede:)
Y muy amable la señorita Paola💗",5,5,4,
Malena Rojo,,,5,23/02/2026,"Me encanto!! La mejor pizza que he probado en toda mi vida, altamente recomendado . <3
Nos recibió paola que nos paso muy rapido y nos asigno mesa, Nos atendió como mesero Fede que fue atento siempre.",5,5,5,
LUBI ALEJANDRO PLUAS BRAVO,,,5,23/02/2026,Nadia y Mario unos genios! Todo excelente atención y servicio!,5,5,3,
MANUEL IGNACIO MIRANDA MANCHENO,,,5,23/02/2026,Nadia y Mario nos atendieron muy bien!!,5,5,5,
Maximiliano Scharn,,,5,23/02/2026,"La espera vale la pena, las pizzas son excelentes. Vinimos 2 adultos y 3 niños y nos dieron una mesa muy cómoda. La sillita alta para bebé es estable. Muy buena atención de Brian y Claudia.",5,5,5,
Naty,,,5,23/02/2026,"Muy buenas pizzas y excelente atención, en especial de Brian y Claudia",5,5,5,
Tomas Vichachi,,,5,23/02/2026,"excelente comida 10/10 la calidad de los productos que utilizan, la pizza fugazzeta rellena  la mejor que probé, volvería mil veces y excepcional brian y agus",5,5,5,
Indiana Baron,,,5,23/02/2026,Excelente servicio y atención de Agustina y el mozo Braian. Todo riquísimo!!,5,5,5,
Mayra Iriart Linares,,,5,23/02/2026,"Todo impecable ,  Nerea es una genia !",5,4,4,
nicole lubo,,,5,23/02/2026,"Buenisimo todo, santiago excelente",5,4,5,
Andres Felipe Camargo Zambrano,,,4,23/02/2026,"Gracias a Nadia, Levi y Aldana!",5,4,4,
milu paredes,,,5,23/02/2026,"Nadia , Levy y Aldana. Unas genias, muchas gracias!",5,4,5,
Brenda Cedraschi,,,5,23/02/2026,Exelente equipo 😍,5,5,5,
Agustina Cedraschi,,,5,23/02/2026,"Nerea se puso la
10",5,5,5,
Micaela,,,5,23/02/2026,Antonella y Mariano excelentes!!,5,5,3,
Claudio Gimenez,,,5,23/02/2026,Excelente atención de Mariano y Antonella.,5,5,5,
IFTS18 Alumnos,,,3,23/02/2026,Mariano y Antonella,5,5,5,
Celina Anabel Ott,,,5,23/02/2026,"Excelente atención como siempre , Nico de Lima y Claudia nos hicieron sentir muy a gusto . Y como siempre las pizzas exquisitas !",5,5,5,
Agustina Vergniaud,,,5,23/02/2026,"Jestw lugar jamás falla, increíble que con tanta gente, explotado de gente, la atención sea tan buena!!!! Genios Ivana y Beto que nos atendieron super bien !!",5,5,2,
Santi Vergniaud,,,5,23/02/2026,Sebastián y Antonella,4,4,5,
santiago vera bareiro,,,5,23/02/2026,Genios Trinidad y Cristian!! Excelente atención,5,5,5,
Ignacio Vera,,,5,23/02/2026,Antonella y Sebastián,5,5,5,
Cala Algieri,,,5,23/02/2026,Sebastian y antonella,5,5,5,
Juanita Santamarina,,,5,23/02/2026,"Trinidad y Cristian, gran servicio y muy amables! Recontra volveria!",5,5,5,
Mora Algieri,,,5,23/02/2026,Sebastian y antonella,4,4,5,
eduardo señorans,,,5,23/02/2026,Trinidad y cristian muy buen servicio y la pizza muy rica,5,5,5,
Evandro Zanetti,,,5,23/02/2026,Trinidad y Cristian un crack!!,5,5,4,
Marina von der Pahlen,,,5,23/02/2026,Antonella y sebastian los mejores,5,5,3,
Jc.,,,5,23/02/2026,Mariano y Antonella,3,4,4,
GABRIEL RIOS,,,5,23/02/2026,"Mariano y antonella unos genios, la comida de diez.",5,5,5,
Pedro Luna,,,5,23/02/2026,Muy buena pizza!,5,5,5,
Mateus Velez Carvajal,,,5,23/02/2026,¡Pizza deliciosa!,5,5,5,
Isi Villar,,,4,23/02/2026,"Muy buena atención, de Ezequiel, y una excelente pizza como siempre.",5,5,5,
Rocio Marruco,,,5,23/02/2026,"Todo excelente, la pizza riquísima. Trinidad y Daniel super amables y atentos",5,5,5,
Santiago Cirica,,,5,23/02/2026,"Execelente atención Ivana, milagros y mozo gonzalo . Gracias",5,5,3,
Paula Molina,,,5,23/02/2026,Espectacular la pizza y exelente atencion de gonzalo Ivana y milagros,5,3,5,
Ana Solimando dos Santos,,,5,23/02/2026,"Muy buenas atención, desde la recepción de  Ivana, la logística de Milagros y la atención perfecta de Gonzalo que nos dio el mejor servicio en las mesas! 👌",5,5,5,
Maria Laura Belardinelli,,,4,23/02/2026,Rica pizza,5,5,5,
