Nombre,Número de reseñas,Número de fotos,Puntuación,Fecha,Comentario,Comida,Servicio,Ambiente,Platos recomendados
Francisco Martí Ravanales,,,5,05/11/2025,"Un pizzería simplemente ESPECTACULAR!!!

El lugar consta de 3 pisos de áreas grandes con mesas bien cómodas por lo que, si bien se debe hacer fila al ingresar, ésta avanza muy rápido y la espera no supera los 5 minutos.

Del menú... uffff...  MARAVILLOSO!!!
Nunca, ni si quiera en Italia, había visto un menú con tantas opciones y tipos de pizza (pizza en base a distintos tipos de quesos, con distintos tipos de salsas, ingredientes caseros y naturales, al pil-pil, con pulpo, etc. etc.etc.

Las porciones son muy generosas, por lo que con una pizza chica comen perfectamente 2 personas.

En nuestro caso, con mi esposa pedimos una Fugazza con Muzzarella y una Camaron Muzzarella Provenzal... Dios Mío, Dios Mío... que exquisitez.

¿Saben lo que es una pizza de queso con queso, muchísimo queso, extra queso y abundante queso? Ufff, papá.

En paralelo, la de Camarón (que era al pilpil) estaba realmente al pilpil... unos aliños caseros con un gusto natural y contundente.

Mención especial a Diego Ramos quien mos atendió de forma espectacular orientándonos y explicándoles esa hermosa Biblia de Menú de Pizzas.

Grata experiencia, buen ambiente y un after-taste macanudo.

Mi única sugerencia: Por favor, pongan una sucursal en Santiago de Chile.",5.0,5.0,5.0,
Johana Bentancour,,,5,05/11/2025,"Clásica pizzería italiana en pleno centro de Buenos Aires, generalmente para entrar debes hacer fila, lo cual demora un rato. La pizzería se desarrolla en distintos salones hacia el fondo del local que son muy grandes. Por ser un salón muy grande y con mucha gente el ruido que hay es bastante fuerte, no es aconsejable si buscas algo tranquilo. Por otro lado salís con olor a comida dado que es un lugar cerrado. Igualmente elijo ir y me gusta hacerlo, pero siempre me gusta advertir para aquellos que no tienen las mismas preferencias y sepan de antemano con que se van a encontrar. La pizza realmente es muy buena, tiene mucha muzzarrella y sepan disfrutar un montón!",5.0,5.0,3.0,
Wilfrido Cañete,,,5,05/11/2025,"Muy linda pizzería, atención excelente muy familiar y turística. La atención del mozo Mariano y la recepcionista Mariana fueron muy amables y educados. Les recomiendo pasar y probar la pizza súper Guerrin. Adjunto fotos y videos. Un ambiente muy cálido y respetuoso. Pedí una sidra 1888
riquísimo y mis hermanas y prima apenon sprint. Los baños son muy amplios y muy limpios",5.0,5.0,5.0,
Eduardo Moser,,,2,05/11/2025,"Güerrín decepcionó. La pizza llegó tibia, con piso inexistente y la masa apelmazada/semicruda bajo la cubierta: húmeda, pastosa y pesada.
Una porción y ya está; no invita a seguir comiendo.
Mucho volumen, poca cocción real. Un clásico que, al menos hoy, no estuvo a la altura.",2.0,3.0,3.0,
Daniel Estrella,,,5,05/11/2025,"Muy buena experiencia! La pizzería es icónica, y si pasas al fondo por un pasillo hay todo un sector con mesas sin tanto olor a comida(por la ropa), esa parte es tremenda. Las pizzas son buenisimas y se pueden pedir en mitades. Lo que sí los precios son algo elevados pero está bueno vivir la experiencia.",5.0,5.0,5.0,
Gustavo Rios,,,5,05/11/2025,"Excelente, muy rico todo. La verdad que me quedé sorprendido de lo grande y el despliegue que tiene el personal del lugar. Muy bueno todo.
Las pizzas del lugar, muy ricas! Pedí Napolitana y fugazzeta, de lo mas rico de la ciudad. Recorrimos varias pizzerias y la verdad que me pareció de lo más rico.
Super recomendable!",5.0,5.0,5.0,
rodri sosa,,,5,06/09/2025,"Llegamos y super rápido nos encontraron una mesa para dos, mi pareja y yo, llegamos a eso de las 19 30 y a llegando casi a las 20 ya estabamos comiendo una muzza grande.
Muy amable el mozo que nos atendíó, y ni hablar de la pizza, si querés comer una buena pizza, recomendadisimo probarla en este lugar, quizás veas que el precio sea alto, pero realmente lo vale, por su tamaño, por su sabor, por la atención al cliente y por el tiempo de espera. Realmente un lindo lugar para ir a comer.",5.0,5.0,5.0,
José Luis Codina,,,4,06/09/2025,"Local inmenso, además del primer comedor, pasas por un pasillo muy largo y llegas a un galpón inmenso, con un horno muy grande.

Las pizzas ricas, para 6 personas pedimos 2 grandes y 1 pequeña, (nos sobró) grande de peperoni brutal, que sabor y con mucho queso y peperoni, 1 grande mitad pollo tomate y la mitad especial de la casa muy rica, y la pequeña fugazetta quizás un poco seca al no tener tomate, pero estaba bien, las masas gruesas y crujientes por abajo. Postre frutillas con crema muy muy buenas, y flan con crema, todo casero.

Lo mejor la atención de 10,  Aldana en recepción y Pacheco nuestro camarero,  con mucha paciencia para explicar ante nuestra indecisión en cual pedir, muchas gracias.

Relación calidad precio bien, no es barato unos 175.000 pesos argentinos para 6, unos 115€.",4.0,5.0,4.0,
Daiana Robles,,,5,08/10/2025,"Es la segunda vez que vinimos al patio y nos atendieron super bien. Guerrin es una de las mejores pizzerías de Bs As, ya perdi la cuenta de las veces que vine y nunca decepciona. Excelente servicio y hoy Domingo nos atendió Osvaldo, muy atento y amable.",5.0,5.0,5.0,
Guille Luján,,,5,05/11/2025,"La pizza una locura de rica, como siempre. La atención muy buena. Pedimos pizza y cerveza. Era sábado y nos dieron mesa enseguida para 3. Si no te gustan los ambientes ruidosos no es para vos, pero te vas a perder una gran pizza y un lugar histórico.",5.0,5.0,4.0,
Sofia Perez,,,5,05/11/2025,El codiciado de Buenos Aires. Tuvimos una demora de 15 minutos para que nos dieran una mesa para dos pero se hizo súper llevadero. La atención y la calidez de los mozos y anfitrionas es excelente. Sin dudas vale la pena esperar un poco para comer. Le falta ventilación. Muchísimo ruido (al menos en el salón del fondo que fue donde cenamos). Igualmente la experiencia lo vale.,5.0,5.0,4.0,
María Salomé,,,3,22/10/2025,"Es una pizzería reconocida y emblemática, se puede comer de pie en la barra o en mesas si tenés tiempo y paciencia para esperar por lugar. Siempre está muy concurrido. Las pizzas salen apenas cocidas e incluso un poco cruda la masa por la alta demanda. Excelente la calidad de los quesos e ingredientes de arriba.
El ambiente es bien ruidoso porque está lleno todo el tiempo.
Y el servicio es típico de un lugar en donde necesitan que consumas y entre el siguiente cliente rápido, te atienden rápido, te hablan rápido y se mueven rápido, a veces te chocan sin querer.
Cumplen pero no son las mejores pizzas, sin embargo, si estás por Buenos Aires no puedes perderte la experiencia de haber visitado esta pizzería.",2.0,3.0,2.0,
Rolando Corzo,,,5,22/10/2025,"Que delicia!!! Que delicia!!! Que delicia!!!! La experiencia más agradable y placentera para comer una pizza. Sin duda su reputación es la indicada y no importa si esperas demasiado para entrar, pero la experiencia y su sabor es inigualable. Quedamos totalmente satisfechos y podríamos comer aquí todos los días.",5.0,5.0,5.0,
MARIANELA MART,,,5,05/11/2025,"Guerrin es un viaje por los sabores más deliciosos de Italia. La vera 🍕, es un paseo por la historia de una pizzeria antiquisima en el centro de Bs. As. a metros del obelisco. Van a descubrir no solo esos sabores exquisitos sino, una atención de primera, gracias Gabriel un buen mozo, al estilo tradicional.
Es más que una pizzeria, es un museo de una fonda, o una vieja romería. Consejo, si te adentras por cada rincóncito verás pequeñas joyas, registros fotográficos, la vieja fabrica despierta, con un míni conventillo para dar lugar a un patio bellísima.
Gracias por su grata atención.  Gracias Leandro! (Un 💚 estilo angelito DiMaria.)",5.0,5.0,5.0,
JA Colon,,,5,05/11/2025,"Excelente experiencia, producto y lugar! A pesar de haber muchisima gente la atencion es super buena, el producto mejor.. recomendable en todo sentido! Fuimos un grupo de 6 y todos quedamos bien conformes",5.0,4.0,4.0,
Natalia Hurtado Vázquez,,,5,05/11/2025,"Pizzas deliciosas, tienen una amplia variedad para que puedas elegir, aunque yo elegí las típicas y totalmente deliciosas. El lugar es enorme y el personal muy amable. El edificio cuenta con un diseño muy lindo y creo que vale la pena ir también para ver eso.",5.0,5.0,4.0,
Pedro Pablo Alvarado Berduo,,,5,05/11/2025,"La pizza de guerrin esta en otro nivel, buensima buenos precios y el lugar es hermoso! Cuando va uno solo la experiencia cambia ya que solo se puede comer parada ya que en mesas no se puede pedir rebanadas, y una pizza completa es demasiado, igual totalmente rica!",5.0,2.0,5.0,
Mariela Valle,,,5,05/11/2025,"Cristian nos atendió de 10, super amable. Antonella un sol. No vivimos en Buenos aires pero de seguro volveremos.",5.0,5.0,5.0,
Fernando Ldeau,,,4,05/11/2025,"Es un clásico de Buenos Aires y la pizza sigue siendo excelente. Sin embargo, el servicio ha decaído mucho últimamente: esperamos casi una hora para que nos sirvieran una pizza, lo cual arruinó parte de la experiencia. Además, tuvimos que pedir tres veces la cuenta antes de que nos la trajeran. Deberían reforzar el personal para estar a la altura de la calidad de su producto.",5.0,3.0,4.0,
Aye D,,,5,05/11/2025,"Guerrin es de esas pizzerías tradicionales que valen la pena. Hicimos cola, pero avanzó rápido y enseguida estábamos disfrutando. La pizza estaba riquísima, con ese sabor clásico que te hace querer volver. La atención fue muy buena, atenta y cordial. Sin dudas, un lugar al que voy a regresar.",5.0,5.0,5.0,
Catalina Mestrovic,,,4,05/11/2025,"La pizza muy buena. Rescato que la muzarella se nota que es de buena calidad y además está gratinada lo cuál le da un toque saladito como si fuese provoleta. Lo malo: demasiada masa insulsa y gordita en los bordes sin muza ni salsa.
Y otra cosa, Guerrin amigo, con toda la guita que juntas, ¿no podes poner servilletas de verdad? En vez de poner el papel con el que envuelven los pedidos?",5.0,4.0,3.0,
Nuria A,,,2,05/11/2025,"Pizzeria emblematica en capital. Buen ambiente, enorme espacio. Rico y fresco, parada obligada despues de ir al teatro. Lo q no me gustó fue el bullicio, esperar para q te den una mesa y esperar media hora x una pizza mitad 4 quesos y mitad napo. Como experiencia está genial. Ojo si llegan a pedir mitad y mitad xq te cobran la pizza de mayor valor, sonó a estafa la verdad(la explicación estuvo floja), muy caro por una pizza y dos gaseosas, debut y despedida. Ponele que trabajes solo con turistas pero no corresponde",2.0,2.0,2.0,
Carolina Montico,,,4,05/11/2025,"La pizza es única, el queso, la salsa y la masa en sí mismo no se parece a nada que hayamos probado antes, peeeeero habiendo probado El Cuartito prefiero sin dudas la del Cuartito. Además hay tanta gente en Guerrin que el ruido y el ambiente es un poco movido.",4.0,5.0,3.0,
Valentina Guzman,,,5,05/11/2025,"Me recomendaron mucho este lugar, muy cálido y la comida es excelente, estuvimos en el sector del patio. La atención de Miguel 10/10. Súper recomiendo",5.0,5.0,5.0,
Ignacio Perona,,,5,15/10/2025,"Histórica pizzeria de Bs As. Por fin pude conocerla y es como esperaba. La pizza obvio es a gusto de cada persona, pero a mi me pareció excelente y volvería sin dudas. Nos atendieron rápido y conseguimos lugar enseguida ya que fuimos un domingo al mediodía, pero calculo que a la noche se debe complicar como tengo entendido!
Ya volveré!",5.0,5.0,5.0,
Camila Vargas,,,5,22/10/2025,"Realmente fue muy buena la experiencia..
La comida riquísima y muy rápidamente llegó
Apenas llegamos nos dieron mesa lo cual fue un milagro producto de lo popular de la pizzería.
Existo todo y muy bien atendido !",5.0,5.0,5.0,
Mariana A,,,5,15/10/2025,"Es la mejor pizza que me he comido en mi vida, probé 3 diferentes y todas saben a manjar de Dioses

Fuimos atendidos por Daniel Pacheco, ¡Qué excelente servicio!
Además, una amiga cumplió años y le cantaron todos, le dieron obsequio y la trataron como a una reina.

¡Amé este lugar!
No me he ido de Argentina y ya quiero regresar para volver a comer ahí. 😍😍🤤",5.0,5.0,5.0,
Giovanni Cameranesi,,,4,22/10/2025,"La comida excelente como siempre. Nos peleamos un poco en la entrada porque dejaron pasar a una familia de 26 personas que estaba ATRÁS NUESTRO pero luego se disculparon y todo bien.
Si nunca viniste, no seas boludo y Veni. Slds",5.0,3.0,5.0,
Milagros Carolina Andrade,,,1,22/10/2025,"¡Hielo contaminado!!!

7 horas después de comer allí mi hija y mi esposo comenzaron a vomitar y con diarrea... la única diferencia entre lo que comimos los 3 durante todo el día fue que ellos pidieron hielo en la cena en El Guerrin.. siguen vomitando y com diarrea 3 horas después... ¡esta gente  juega con la salud de los clientes, trampa para turistas!! Una triste experiencia, entiendo que sea un ligar típico como parado en el tiempo, pero también se quedaron parados los productos de limpieza: lugar muy sucio, con grasa pegada por todos lados, poca ventilación e improvisado en su arquitectura lo que es un peligro en caso de emergencias. La atención no es buena, tienes que pedir todo, preguntar todo, no es barato y tal como lo mencioné mi familia se ha enfermado por tomar sus bebidas con hielo en ese lugar asqueroso.",1.0,1.0,1.0,
carla serrano,,,4,05/11/2025,"La comida estaba espectacular! Una de las mejores pizzas argentinas que he probado. La masa es de un grosor intermedio, los bordes súper crocantes. La cantidad de queso era deliciosamente generosa. Pedimos una clásica de pimentón aceitunas verdes que fue nuestra favorita. El local es muy espacioso al interior y no esperamos para sentarnos pero si lo hicimos más de 45 minutos para que llegaran las pizzas a la mesa.",5.0,3.0,4.0,
Laura Raid,,,4,05/11/2025,"Pizza riquísima. Muy ruidoso el lugar. Caras las empanadas y la bebida. Poco higiénico. Es un lugar turístico que vale la pena conocer y para mi gusto tiene la mejor pizza. Una porción de tarta de verdura, dos porciones de muzza y dos gaseosas chiquitas...30 lucas",5.0,5.0,3.0,
Ricardo Bodner,,,5,07/08/2025,"Muy buena pizza. Pero la grata sorpresa fue la empanadas de carne frita que pedimos de entrada, espectacular, grande, rica, jugosa y lo más importante nos cayó muy bien al estómago, sin efectos secundarios. El servicio de los mozos muy bueno, el tiempo para traer la pizza razonable, teniendo en cuenta que ingresan multitudes de personas a comer.",5.0,5.0,4.0,
Javier Mallaupoma,,,5,07/08/2025,"Una de las mejores pizzerías que conocí, amplia variedad para escoger.
Está ubicada en una zona concurrida de la ciudad pero con varios estacionamientos privados cerca.
El tiempo de espera es aceptable y el personal muy ameno y amable.
El local es grande aunque por fuera no parezca.
Los precios son accesibles y justifica costo beneficio.
Probamos el arroz con leche, es una porción grande, para compartir, la sirven fría, diferente a la peruana para que no se confundan como yo.
Muy recomendable en general.",5.0,5.0,5.0,
Maria Alejandra Moreno Rios,,,5,05/11/2025,"Excelente experiencia!
La comida fenomenal, temperatura perfecta, sabor, variedad, presentación.
El servicio de Milagros en la recepción y atención fue genial y Leo nuestro mesero, muy atento al detalle y las opciones en lo que queríamos.
Esta vez visité el 2do piso, y está muy bien ambientado y organizado. Un 10!",5.0,5.0,5.0,
Pau Kahla,,,4,22/10/2025,Excelente! Recomiendo 100%! Quizás es un poco ruidoso pero se puede conservar. La espera fue de 15 minutos aprox!,5.0,5.0,3.0,
Ronald Alejandro Martinez Sarazú,,,5,15/10/2025,"Simplemente una de las pizzas más ricas que he comido en mi vida, el sabor es espectacular. Cuando llegues al local vas a ver bastante cola, personas entrando y saliendo y alboroto moderado. Si son de las personas que no les gusta esperar o están con el tiempo ajustado, pueden hacer la cola para llevar a casa o comer en barra. Demoran entre 30 - 45 minutos desde que pides la pizza entera para llevar hasta que te la entregan, también puedes pedir tajadas de pizza, estas salen más rápido. Yo comí la fugazzetta y sus empanadas, exquisito sabor. El servicio es regular y es debido a la cantidad enorme de gente que hay, así que hay que tener un poco de paciencia, creanme que valdrá completamente la pena. Pueden pagar con tarjeta o efectivo y por último el restaurant tiene un toque antiguo y vintage, bonito para mi gusto.",5.0,4.0,4.0,
martin silva,,,5,06/09/2025,"¡Simplemente espectacular! La comida es increíble, cada pizza estaba llena de sabor y recién hecha. La atención del personal fue impecable, súper amable y atento en todo momento. Todo en este lugar fue impresionante, desde el ambiente hasta la calidad de los ingredientes. Sin duda, un lugar al que voy a volver y que recomiendo 100%.",5.0,5.0,5.0,
Macarena Tagliana,,,5,05/11/2025,"Era nuestra primera vez en la pizzeria, vinimos de La Plata para probarla, una delicia. Nos atendieron Gonzalo y Marina, muy serviciales, amables y con una sonrisa siempre. El ambiente hermoso, fuimos al patio napoletano. Vinimos un jueves, 20hs,sin espera.",5.0,5.0,5.0,
Benjamin Monge,,,4,05/11/2025,"Pague 70 USD por una pizza mediana y una fuga chica y quedé plop

Es rico si pero la verdad aunque es una experiencia que si recomiendo hacer ojo

Es por el lugar más que por la comida, la experiencia (ojo con qué ropa vas porque quedarás pasado a pizza sobre todo si te hacen entrar al fondo)

El sabor es rico es caro pero son rápidos ose lo vale pero a la vez no, el hecho de que no volvería a ir ya te puede decir algo creo que el error es la porción ya que comimos la mitad de lo que pedimos solo

Pero si recomiendo buscar otros lugares donde la verdad la pizza está a mitad de precio y sabe igual de bien",4.0,5.0,4.0,
Félix Morales,,,4,08/06/2025,"Pizzería típica argentina en el centro de Buenos Aires. Las porciones deliciosas y artesanales. Buen servicio y con mucho ambiente, suele estar lleno por estar en el centro y porque es muy famosa. Por 2 copas de vino y 4 porciones pagué 15.000 pesos, 11,20 euros al cambio en el momento. Espectacular! 👏👏👏🍕🍷",5.0,4.0,5.0,
Julián Ezquerro,,,5,06/09/2025,"La pizzería Güerrin tiene bien ganada su fama: sus pizzas son espectaculares. Como siempre estaba lleno de gente, así que fuimos al amplio salón trasero, que está muy bien ambientado; se respira Italia. La atención es excelente, bien organizada para el caudal de comensales que manejan, y el clima distendido. Para pasar un rato más que agradable.",5.0,5.0,5.0,
beatriz corral,,,5,05/11/2025,Muy buena la atención y la organización de los mozos. Destacando a Marina y a Daniel que fueron quienes nos atendieron. Nos brindaron una hermosa experiencia para nosotros que venimos desde lejos!! Valió totalmente la pena!! Muy rica la comida y con mucha variedad de sabores! Recomendadísimo,5.0,5.0,5.0,
isabel nieto,,,1,05/11/2025,"La de anchoas solo tiene tomate triturado sin sabor, y la de muzza cuestiono altamente que tenga la cantidad de muzza que prometen.
En cuanto a la napo, esta medio cruda pero ya ni que esperar
No volveré ni porque me pagen.",1.0,4.0,2.0,
Angel Basualdo,,,5,05/11/2025,"El mejor lugar para disfrutar de la pizza de masa al molde gruesa.
La atención excelente.
La variedad del menú es infinito🍕🍕🍕
Vale la pena esperar para comer la mejor pizza!!!!",5.0,5.0,5.0,
Liliana Barroso Godoy,,,5,08/06/2025,"Primera vez y quede encantada!!!
Espacio acogedor (obviamente) hay mucha gente pero no tuvimos que hacer fila para entrar.
Nos atendieron rápido y entregaron el pedido en 10 minutos o menos...
La pizza un 10 y la faina un 20 💕 buena calidad de ingredientes y super llena de tanta muzarella 😍🫶",5.0,5.0,5.0,
Ivana Martini,,,4,06/09/2025,"Un clásico de siempre. De la última vez que vine, repuntó y volvió a estar mucho mejor. Había mucha gente, pero fue bastante ágil.  A las personas mayores le daban espacio adentro para que se puedan sentar mientras esperan. Las pizzas muy buenas, la bebida a temperatura perfecta. El precio estuvo muy bien, acorde a lo consumido. La atención de todos los chicos, muy buena. El único detalle que no me pareció es que ofrecieron llevarse la tarjeta para cobrar. Ya a esta altura creo que no se pregunta eso, ni que se opera así.",5.0,5.0,5.0,
Karina Garrido,,,5,08/07/2025,"Pizzeria Guerrin es una típica Pizzeria argentina ubicada en plena calle corrientes. Siempre lleno pero la atención es increíble, podes comer parado en la barra o pasar al salón. Las pizzas riquísimas!!!! Un Imperdible de Buenos Aires. Siempre hay mucho personal por lo que casi no hay demora.",5.0,5.0,5.0,
Belen Manzanares,,,5,06/09/2025,"Riquísima la pizza y las empanadas fritas. No tuvimos que hacer fila porque fuimos tipo 16hs.
Pasamos al patio napolitano que estaba ambientado al estilo de Nápoles, ruidoso pero que iba de la mano de la esencia del lugar!
La atención fue muy buena, muy amables y la comida llegó rapidísimo.
El precio también fue acorde, gastamos 46.000 y pedimos: dos empanadas, una muzza y dos refrescos.",5.0,5.0,5.0,
SoyAyelen,,,5,06/09/2025,"Muy buena atención, nos atendió Morales súper amable y Janet paso a charlar para asegurarse que estuviera todo bien.
La pizza deliciosa, demasiado sabrosa y para nada aceitosa. Lo único que cambiaría es que la napolitana picaba bastante, yo ese picante lo traería a parte para quien le quiera agregar. El resto todo perfecto. Volveremos",5.0,5.0,5.0,
elba lazo,,,5,05/11/2025,"Los genoveses Franco Malvezzi y Guido Grondona fueron quienes crearon este emblema de la pizza al molde. Güerrin nació nació en 1932, cuenta con 70 variedades de pizzas y es un ícono de la Ciudad de Buenos Aires. Su masa se trabaja todavía en forma manual en una gran batea y es cocina a leña.",3.0,3.0,5.0,
Ivana Rodriguez,,,3,07/08/2025,"Me decepcionó... Tanto que no podía dejar de conocerla, tuve que ir un lunes al mediodía para poder hacerlo porque un fin de semana es imposible!  La pizza de anchoas después de haber probado Angelina y Banchero, queda muy lejos... Los mozos desbordados y eso que había mucho personal... Ya la conocí, no vuelvo!",3.0,3.0,3.0,
carlos ferrin,,,3,08/07/2025,"Lugar tradicional muy famoso y recomendado por muchos. No tuve suerte, el servicio fue rápido pero la pizza no estuvo rica. Pedimos media mozzarella que no estaba fea pero era una pizza más del montón y media fugazza con queso que la masa estaba un poco cruda y su sabor no destacaba. En resumen he comido pizzas mejores en lugares desconocidos y a valores más accesibles.",5.0,5.0,5.0,
Anthony Rafael Lunar Noriega,,,5,06/09/2025,"Buena atención. Un lugar histórico que no puedes dejar de conocer. Desde 1932. Buenos sabor de pizza, con gran variedad de sabores. Ambiente familiar. Rápida entrega de servicios. Gracias a Marina por la atención al momento de la entrada. Es un poco larga la fila para la entrada pero vale la pena. Sin duda visiten Güerrín.",5.0,5.0,4.0,
Roxana Vilar,,,5,22/10/2025,"Excelente pizza, riquísima! No esperamos tanto para que la trajeran. Se equivocaron los mozos un par de veces con lomqie pedimos y nos trajeron (totalmente entendible con la cantidad de gente que había), pero lo cambiaron muy amablemente.",5.0,5.0,5.0,
MONICA DIAZ,,,5,05/11/2025,"Excelente, tuvimos q esperar un rato pero valió la pena, muchas gente pero una vez q no ubicamos la atención fue rápida. Todo de 10 volveremos seguramente en próximos viajes.",4.0,4.0,4.0,
Matias Cocci,,,4,08/06/2025,"Las pizzas espectaculares, fugazzeta un poema. Empanada de carne floja pero no es su especialidad. Atención cordial pero al haber tanta gente se complica un poco. Cerveza de litro sin temperatura correcta. Acústica muy floja, se dificulta mucho hablar por el ruido y bullicio.-",5.0,5.0,5.0,
Rodrigo Villalba,,,5,05/11/2025,"La mejor pizza que probé hasta ahora realmente todo exquisito ,podes pedir de varios gustos si lo te decidís por uno solo ,servicio y atención de primera , siempre hay mucha gente pero vale mucho la espera , el lugar es muy amplio  así que la cola avanza rápido .",4.0,4.0,4.0,
Damien R,,,4,07/08/2025,"Muy buena pizzería de las de antes, todo un clásico mítico de Buenos Aires.

La decoración es muy pintoresca.

Las pizzas estaban buenas y eran abundantes, aunque algo grasientas para ser perfectas.

El servicio fue amable, pero algo lento.

El nivel de ruido al mediodía era bastante alto.

Valoración positiva en conjunto!",5.0,3.0,3.0,
